Epoch,Train Loss,Train_Accuracy,Validation_Accuracy
0,1.4937225954300477,66.99213452671549,72.93447293447294
0,1.499510478740596,66.6124220233252,73.78917378917379
10,1.0970089506061866,93.49064279902359,78.91737891737891
20,1.0132064876240834,95.98589639273122,79.48717948717949
30,0.9891147122074021,97.93870355302414,80.91168091168092
40,0.9746304192063218,98.80661784648765,81.76638176638177
50,0.9766472492368039,98.64388391646325,82.05128205128206
60,0.9549096971144029,98.94222945484134,80.91168091168092
70,0.9460072767000584,99.18633034987795,82.05128205128206
80,0.9273912252887078,99.43043124491456,81.48148148148148
90,0.9212234086837748,99.70165446162191,81.19658119658119
100,0.9244127276146157,99.6202874966097,83.19088319088318
110,0.916417754048864,99.5389205315975,81.76638176638177
120,0.9165430001718486,99.64740981828045,81.48148148148148
130,0.908253725350372,99.75589910496339,81.48148148148148
