Epoch,Train Loss,Train_Accuracy,Validation_Accuracy
0,1.469261009065252,69.51451044209384,74.64387464387464
10,1.0348439391208335,95.55193924599946,80.62678062678063
20,1.0064953513542487,97.12503390290209,80.34188034188034
30,0.9834051059777736,98.15568212639002,77.4928774928775
40,0.9530386946729634,99.07784106319501,80.05698005698005
50,0.9407426302821649,99.34906427990236,81.76638176638177
60,0.92855323049671,99.56604285326824,82.62108262108262
70,0.9168343170244648,99.70165446162191,82.33618233618233
80,0.9168685967921564,99.6202874966097,81.76638176638177
90,0.9104889827528587,99.70165446162191,82.62108262108262
100,0.9041871372716421,99.86438839164633,82.05128205128206
110,0.8978846966169506,99.86438839164633,81.76638176638177
120,0.8980478967532641,99.94575535665852,81.19658119658119
130,0.8939225246242175,99.89151071331706,81.76638176638177
140,0.8927450583561152,99.91863303498779,81.76638176638177
150,0.8913826995468864,99.94575535665852,81.48148148148148
160,0.8908878869081791,99.89151071331706,82.05128205128206
170,0.8894881377027453,99.91863303498779,81.48148148148148
180,0.8890066454654338,99.97287767832927,81.76638176638177
190,0.8887741669814438,99.94575535665852,81.76638176638177
200,0.8883016331266316,99.97287767832927,81.48148148148148
210,0.8898642244848547,99.94575535665852,81.48148148148148
220,0.8868595803045858,99.94575535665852,81.76638176638177
