Epoch,Train Loss,Train_Accuracy,Validation_Accuracy
0,1.5358265632854944,64.90371575806888,69.51566951566952
10,1.1068727122369677,91.72769189042582,78.63247863247864
20,1.0141228954417614,96.98942229454842,81.19658119658119
30,0.9802933435049489,97.91158123135341,81.76638176638177
40,0.9624364302997056,98.58963927312178,82.90598290598291
50,0.94767770154191,99.10496338486574,82.05128205128206
60,0.9406242973280043,98.75237320314619,83.19088319088318
70,0.9239164990786456,99.4575535665853,82.33618233618233
80,0.9132956661827557,99.67453213995118,82.05128205128206
90,0.9096958671509815,99.86438839164633,82.62108262108262
100,0.905166496388596,99.70165446162191,82.05128205128206
110,0.9025061814029074,99.59316517493897,82.05128205128206
120,0.8983466699577976,99.81014374830485,82.62108262108262
130,0.8977678367236069,99.72877678329264,82.90598290598291
140,0.89425045615585,99.89151071331706,82.90598290598291
150,0.8928648586806031,99.83726606997558,83.19088319088318
160,0.8924021285046463,99.83726606997558,82.90598290598291
170,0.8914103470490106,99.91863303498779,82.33618233618233
180,0.8905809853566446,99.91863303498779,83.47578347578347
190,0.8900314121023891,99.94575535665852,82.90598290598291
200,0.8887288789617229,99.91863303498779,82.62108262108262
