Epoch,Train Loss,Train_Accuracy,Validation_Accuracy
0,1.4332631041048534,71.6571738540819,72.36467236467236
10,1.0084497060173083,97.39625711960944,78.63247863247864
20,0.994704973610365,98.07431516137781,77.77777777777777
30,0.9585435351026973,99.13208570653649,80.91168091168092
40,0.9592447676631471,99.24057499321943,79.48717948717949
50,0.9491527514435717,99.3761866015731,77.4928774928775
60,0.9322738272405945,99.72877678329264,79.48717948717949
70,0.9272585044490441,99.59316517493897,78.06267806267806
80,0.9165219321689342,99.67453213995118,80.05698005698005
