Epoch,Train Loss,Train_Accuracy,Validation_Accuracy
0,1.719418174178742,55.899104963384865,61.82336182336182
10,1.1092551960542916,90.96826688364524,72.36467236467236
20,1.0420852239001952,93.97884458909682,72.93447293447294
30,1.0121778059303195,95.90452942771901,75.4985754985755
40,0.9825054072480167,97.12503390290209,75.4985754985755
50,0.9700428357705018,97.91158123135341,76.06837606837607
60,0.9594562997137721,97.9929481963656,75.78347578347578
70,0.9543657450291856,98.39978302142663,74.64387464387464
80,0.9475999169469946,98.58963927312178,73.78917378917379
90,0.9442780150415324,98.53539462978031,73.21937321937322
100,0.9376752458680507,98.86086248982913,73.78917378917379
110,0.9326454480230436,99.15920802820722,75.78347578347578
120,0.9272166583995235,98.94222945484134,75.78347578347578
130,0.9287807039364845,98.86086248982913,75.78347578347578
140,0.9207130677337274,99.05071874152428,74.64387464387464
