All 1599 models by parameter count:
tf_efficientnet_l2.ns_jft_in1k                     | Total: 480.3M | Trainable: 480.3M
tf_efficientnet_l2.ns_jft_in1k_475                 | Total: 480.3M | Trainable: 480.3M
maxvit_xlarge_tf_512.in21k_ft_in1k                 | Total: 475.8M | Trainable: 475.8M
maxvit_xlarge_tf_384.in21k_ft_in1k                 | Total: 475.3M | Trainable: 475.3M
resnext101_32x32d.fb_wsl_ig1b_ft_in1k              | Total: 468.5M | Trainable: 468.5M
dm_nfnet_f6.dm_in1k                                | Total: 438.4M | Trainable: 438.4M
vitamin_xlarge_256.datacomp1b_clip                 | Total: 436.1M | Trainable: 436.1M
vitamin_xlarge_336.datacomp1b_clip                 | Total: 436.1M | Trainable: 436.1M
vitamin_xlarge_384.datacomp1b_clip                 | Total: 436.1M | Trainable: 436.1M
vit_so400m_patch14_siglip_378.webli_ft_in1k        | Total: 429.4M | Trainable: 429.4M
vit_so400m_patch16_siglip_512.v2_webli             | Total: 428.8M | Trainable: 428.8M
vit_so400m_patch16_siglip_384.v2_webli             | Total: 428.3M | Trainable: 428.3M
vit_so400m_patch14_siglip_378.v2_webli             | Total: 428.2M | Trainable: 428.2M
vit_so400m_patch14_siglip_378.webli                | Total: 428.2M | Trainable: 428.2M
vit_so400m_patch14_siglip_384.webli                | Total: 428.2M | Trainable: 428.2M
vit_so400m_patch16_siglip_256.v2_webli             | Total: 427.9M | Trainable: 427.9M
vit_so400m_patch16_siglip_256.webli_i18n           | Total: 427.9M | Trainable: 427.9M
vit_so400m_patch14_siglip_224.v2_webli             | Total: 427.7M | Trainable: 427.7M
vit_so400m_patch14_siglip_224.webli                | Total: 427.7M | Trainable: 427.7M
resnet50x64_clip.openai                            | Total: 420.4M | Trainable: 420.4M
vit_so400m_patch14_siglip_gap_896.pali2_3b_pt      | Total: 416.9M | Trainable: 416.9M
vit_so400m_patch14_siglip_gap_896.pali2_10b_pt     | Total: 416.9M | Trainable: 416.9M
vit_so400m_patch14_siglip_gap_896.pali_ocrvqa      | Total: 416.9M | Trainable: 416.9M
vit_so400m_patch14_siglip_gap_896.pali_pt          | Total: 416.9M | Trainable: 416.9M
vit_so400m_patch14_siglip_gap_896.pali_refcoco_seg | Total: 416.9M | Trainable: 416.9M
vit_so400m_patch14_siglip_gap_378.webli_ft_in1k    | Total: 414.1M | Trainable: 414.1M
vit_so400m_patch16_siglip_gap_512.v2_webli         | Total: 413.5M | Trainable: 413.5M
vit_so400m_patch14_siglip_gap_448.pali2_3b_docci   | Total: 413.3M | Trainable: 413.3M
vit_so400m_patch14_siglip_gap_448.pali2_3b_pt      | Total: 413.3M | Trainable: 413.3M
vit_so400m_patch14_siglip_gap_448.pali2_10b_docci  | Total: 413.3M | Trainable: 413.3M
vit_so400m_patch14_siglip_gap_448.pali2_10b_pt     | Total: 413.3M | Trainable: 413.3M
vit_so400m_patch14_siglip_gap_448.pali_mix         | Total: 413.3M | Trainable: 413.3M
vit_so400m_patch14_siglip_gap_448.pali_ocrvqa      | Total: 413.3M | Trainable: 413.3M
